국가,지역,농장명,품종,가공방식,고도,로스팅,구매처,구매일,컵노트,뉘양스,선호도,Cost1,Weight(g),Purchase,Recipe,홀츠 클릭,코만단테 클릭
콜롬비아,"티마나, 후일라",,"티피카, 카투라, 콜롬비안",워시드 디카페인,1100 ~ 1600,중강배전,람다람로스터스,2023-04-03,"코코아, 당밀, 부드러운 바디감",센터커피 디카페인보다 부드럽고 디카페인 특유의 맛이 많이 적음,6.8,Sample,,,4:6 기본,35,
케냐,키앙고이(키리냐가),,SL28,워시드,1700 ~ 1850,약중배전,람다람로스터스,2023-04-24,블랙커런트 체리 초코 퍼지 라임 좋은밸런스,,6.8,sample,,,4:6 기본,33,
페루,"산타 테레사(카하마르카, 로냐 그란데)",,게이샤,내추럴,1680,약중배전,람다람로스터스,2023-04-24,로제 와인 포도 말린 무화과 쟈스민 실키한 질감,,7.2,sample,,,4:6 기본,33,
콜롬비아,후일라 가르존 우라노,,"카스티요, 카투라, 케니카페",워시드,1500 ~ 1900,약중배전,람다람로스터스,2023-05-09,사과 황설탕 콘 호두 좋은 밸런스,"붉은 계열 과일의 산미, 식을수록 산미가 약해지고 단맛이 강해져서 데일리하게 마시기 좋음",6.8,,500,19600,"4:6 기본, 용챔 2인분 레시피",33,
온두라스,라파스 산티아고 푸링글라 구아스폴로로,,IH90,워시드,1750,약중배전,로스터릭,2023-05-30,"플로럴, 포도, 복합성","결점두가 좀 있고, 로스팅이 람다람에 비해 불균형함",6.7,,500,18000,"4:6 기본, 용챔 2인분 레시피",32,
에티오피아,예가체프 아리차,,"74110, 74158, 74148",내추럴,1900 ~ 2250,약중배전,로스터릭,2023-05-30,"라즈베리, 커피꽃, 밀크초콜릿","홀빈→그라인딩시 진한 커피향이 남, 라즈베리한 산미와 에프터는 밀크초콜릿 같은 질감이 느껴짐 ( 배전도는 람다람과 유사, 결점두가 좀 많고 딱 500g만 옴 )",6.7,,500,18000,"4:6 기본, 용챔 2인분 레시피",32,
에티오피아,시다마 벤사 케라모,,"74158, 74110",내추럴,1900 ~ 2300,약중배전,로스터릭,2023-06-24,"딸기, 청량, 꿀",,6.7,,500,18000,"4:6 기본, 용챔 2인분 레시피",,
콜롬비아,안티오키아 볼리바르,라 레세르바,카투라 치로소,무산소 허니,1800 ~ 2700,약중배전,로스터릭,2023-06-24,"열대과일, 자두, 잼",,6.7,,500,18000,"4:6 기본, 용챔 2인분 레시피",,
블랜드,"에티오피아 첼바 내추럴(75%), 에티오피아 구지 겔레나 (15%), 콜롬비아 라 카바나 게이샤 무산소 내추럴 (10%)",,,,,약중배전,람다람로스터스,2023-07-17,"딸기, 청량함, 쥬시함, 블루베리",,6.7,,500,19000,"아이스 30g, 4:6(300g)",,
에티오피아,예가체프 첼바사,,"74110, 74112",워시드,2073 ~ 2300,약중배전,람다람로스터스,2023-08-07,"청포도, 재스민, 자두",,6.7,,500,19600,"아이스 30g, 4:6(300g)",,
과테말라,"케찰 테낭고, 엘 누에보 팔마",산토 도밍고 케네데,카투라 치로소,워시드,1200,약중배전,람다람로스터스,2023-08-07,"복숭아, 메이플시럽, 바닐라, 묵직한 바디",,6.9,,500,19600,"아이스 30g, 4:6(300g)",,
르완다,르와마티무,,티피카(POP3303/21),내추럴,1600 ~ 2000,약중배전,람다람로스터스,2023-08-30,"체리, 천도복숭아, 밤꿀, 좋은밸런스, 장미","체리의 산미가 전반적이며, 에프터가 살짝 쌉사름한 늬양스가 있음",6.9,,500,19600,,,31
에티오피아,"짐마, 게라, 겐지",,"74110, 74165",워시드,1900 ~ 2100,약중배전,로스터릭,2023-09-20,"청포도, 매끈한 질감, 베르가뭇",,6.7,,500,19600,"아이스 30g, 4:6(300g)",,
케냐,MERU (니야키),,"SL34, SL28, RUIRU 11",워시드,1850,약중배전,로스터릭,2023-09-20,"레몬, 오렌지, 매실",오렌지의 산미가 전반적,6.7,,500,19600,"아이스 30g, 4:6(300g)",,
케냐,Kiambu Country,,"SL34, SL28, RUIRU 11, Batian",워시드,1500,,어페어커피,2023-10-14,"자몽, 토마토, 카라멜, 초콜릿",,,7000,,,,,
과테말라,"Huehuetenango, La Libertad",인헤르토,게이샤,워시드,1920,,대림창고,2023-10-14,"복숭아, 살구, 만다린, 얼그레이","뜨거울때 복숭아, 살구의 핵과류, 중간정도 식었을때 만다린의 시트러스, 미지근해졌을때 얼그레이 느낌",9,17000,,,,,
콜롬비아,"브루셀라, 후일라",로스 노갈레스,핑크버번,워시드,1850 ~ 1959,약중배전,람다람로스터스,2023-10-16,"귤, 꿀, 은은한 꽃향, 깔끔한 여운, 상큼, 달달",귤의 산미만 가득,,,500,19600,,,31
